State,HighQ,HighQN,MedQ,MedQN,LowQ,LowQN,date
Washington,233.4,3151,189.56,3312,NA,146,11/1/2014
West Virginia,355.32,516,218.72,504,NA,58,11/1/2014
Wisconsin,351.82,2116,272.71,2034,NA,156,11/1/2014
Wyoming,329.04,121,353.86,178,NA,12,11/1/2014
Alabama,339.34,1491,205.59,1399,NA,178,12/1/2014
Alaska,290.27,345,269.08,455,NA,37,12/1/2014
Arizona,299.9,2570,210.42,2332,NA,299,12/1/2014
Arkansas,343.73,825,206.14,805,NA,141,12/1/2014
California,244.36,16127,190.25,18472,NA,1061,12/1/2014
Colorado,243.99,3055,195.71,2743,NA,175,12/1/2014
Connecticut,339.13,1782,268.79,1982,NA,120,12/1/2014
Delaware,363.93,476,235.73,417,NA,40,12/1/2014
District of Columbia,348.6,641,280.94,561,NA,49,12/1/2014
Florida,301.07,9138,217.52,7894,NA,676,12/1/2014
Georgia,324.83,4291,217.38,3327,NA,302,12/1/2014
Hawaii,309.87,438,267.03,495,NA,29,12/1/2014
Idaho,275.07,433,245.8,652,NA,35,12/1/2014
Illinois,354.85,5461,283.11,5339,NA,436,12/1/2014
Indiana,332.84,2325,213.86,2166,NA,319,12/1/2014
Iowa,365.25,949,289.61,1001,NA,118,12/1/2014
Kansas,350.15,1127,262.03,959,NA,135,12/1/2014
Kentucky,338.51,1448,173.79,1453,NA,176,12/1/2014
Louisiana,363.45,1475,240.76,1310,NA,309,12/1/2014
Maine,315.06,599,236.01,641,NA,60,12/1/2014
Montana,265.8,722,241.84,362,NA,32,12/1/2014
Nebraska,337.81,682,246.76,700,NA,75,12/1/2014
Nevada,266.5,1200,227.16,1376,NA,78,12/1/2014
New Hampshire,355.28,578,295.13,637,NA,51,12/1/2014
New Jersey,346.13,2984,287.03,4050,NA,251,12/1/2014
New Mexico,288.36,773,215.74,641,NA,64,12/1/2014
New York,345.1,7638,264.3,8429,NA,609,12/1/2014
North Carolina,346.31,3971,245.16,2920,NA,308,12/1/2014
North Dakota,397.09,204,345.27,311,NA,23,12/1/2014
Ohio,333.29,4124,218.62,4132,NA,534,12/1/2014
Oklahoma,356.98,1065,234.63,1030,NA,189,12/1/2014
Oregon,206.72,2130,181.06,1954,NA,91,12/1/2014
Maryland,367.05,2780,255.12,2372,NA,191,12/1/2014
Massachusetts,347.45,3909,286.97,3658,NA,281,12/1/2014
Michigan,289.31,3910,270.42,3616,NA,289,12/1/2014
Minnesota,352.63,2298,274.4,2377,NA,122,12/1/2014
Mississippi,337.43,586,148.22,525,NA,140,12/1/2014
Missouri,352.05,2160,245.5,2040,NA,291,12/1/2014
Pennsylvania,363.5,5372,268.98,4787,NA,494,12/1/2014
Rhode Island,317.87,706,260.09,537,NA,46,12/1/2014
South Carolina,338.67,1632,204.86,1359,NA,161,12/1/2014
South Dakota,356.93,217,348.91,247,NA,25,12/1/2014
Tennessee,349.68,2172,225.48,1836,NA,212,12/1/2014
Texas,335.4,8009,233,8252,NA,1127,12/1/2014
Utah,290.77,936,237.32,1010,NA,60,12/1/2014
Vermont,371.8,351,309.92,354,NA,32,12/1/2014
Virginia,365.81,3394,292.4,2973,NA,279,12/1/2014
Washington,233.76,3253,189.29,3453,NA,154,12/1/2014
West Virginia,358.42,535,220.62,522,NA,59,12/1/2014
Wisconsin,350.75,2177,273.97,2115,NA,162,12/1/2014
Wyoming,326.89,125,354.2,184,NA,12,12/1/2014
Alabama,339.2,1043,198.64,933,149.49,123,1/2/2014
Alaska,289.67,254,261.3,299,388.58,26,1/2/2014
Arizona,303.36,1943,209.38,1627,189.45,222,1/2/2014
Arkansas,361.85,576,185.62,544,125.4,113,1/2/2014
California,248.67,12125,193.56,12836,192.8,779,1/2/2014
Colorado,236.2,2165,196.73,1751,213.5,128,1/2/2014
Connecticut,347.84,1296,274.24,1318,257.36,91,1/2/2014
Delaware,373.18,347,226.25,273,199.88,34,1/2/2014
District of Columbia,352.02,434,295.67,349,213.72,39,1/2/2014
Florida,306.35,6518,219.97,5241,158.19,515,1/2/2014
Georgia,332.23,3106,213.49,2275,153.45,229,1/2/2014
Hawaii,310.96,328,270.38,350,160.46,25,1/2/2014
Idaho,276.05,315,254.96,445,132.61,20,1/2/2014
Illinois,359.68,4014,287.25,3648,180.57,331,1/2/2014
Indiana,336.79,1668,206.7,1450,153.85,249,1/2/2014
Iowa,372.38,699,292.42,650,252.24,103,1/2/2014
Kansas,353.66,839,260.6,631,124.27,109,1/2/2014
Kentucky,337.57,1015,182.99,987,120.31,132,1/2/2014
Louisiana,377.69,1074,243.48,867,153.73,224,1/2/2014
Maine,321.1,450,259.18,425,214.8,52,1/2/2014
Montana,279.73,585,257.98,258,734.65,22,1/2/2014
Nebraska,352.64,508,247.03,510,142.99,62,1/2/2014
Nevada,269.63,901,218.54,929,231.08,61,1/2/2014
New Hampshire,366.34,423,289.81,441,561.05,38,1/2/2014
New Jersey,354.8,2246,294.35,2803,225.62,185,1/2/2014
New Mexico,293.86,565,216.55,434,63.7,42,1/2/2014
New York,351.97,5810,268.88,5834,190.49,483,1/2/2014
North Carolina,355.68,2778,247.07,1914,152.09,226,1/2/2014
North Dakota,412.84,137,361.95,200,269.55,13,1/2/2014
Ohio,336.59,3054,212.58,2822,168.87,399,1/2/2014
Oklahoma,364.62,755,228.41,668,121.6,131,1/2/2014
Oregon,213.39,1615,188.55,1336,175.87,61,1/2/2014
Maryland,380.56,1967,248.63,1549,196.59,152,1/2/2014
Massachusetts,354.58,2886,297.17,2472,217.89,219,1/2/2014
Michigan,299.34,3055,277.63,2529,227.48,230,1/2/2014
Minnesota,371.19,1717,280.6,1535,183.29,101,1/2/2014
Mississippi,340.71,412,150.02,350,137.29,95,1/2/2014
Missouri,371.57,1559,241.53,1288,153.48,204,1/2/2014
Pennsylvania,372.64,3831,266.51,3213,194.12,364,1/2/2014
Rhode Island,335.12,530,262.07,360,207.93,33,1/2/2014
South Carolina,349.03,1155,202.12,904,176.93,119,1/2/2014
South Dakota,387.8,161,362.7,167,125.68,20,1/2/2014
Tennessee,359.75,1546,223.8,1222,199.5,148,1/2/2014
Texas,343.35,6002,235.68,5642,141.73,852,1/2/2014
Utah,291.7,687,232.77,667,169.84,42,1/2/2014
Vermont,379.88,277,323.31,225,187.06,24,1/2/2014
Virginia,373.62,2478,288.27,1962,223.02,202,1/2/2014
Washington,236.13,2354,191.96,2349,148.33,108,1/2/2014
West Virginia,359.8,351,197.23,368,158.25,40,1/2/2014
Wisconsin,358.19,1627,268.43,1371,231.04,126,1/2/2014
Wyoming,355.9,93,378.95,134,161.3,11,1/2/2014
Alabama,337.38,1540,208.24,1463,NA,182,1/2/2015
Alaska,303.02,350,270.4,476,NA,37,1/2/2015
Arizona,298.52,2639,209.56,2430,NA,306,1/2/2015
Arkansas,341.68,846,207.02,837,NA,145,1/2/2015
California,243.95,16517,189.34,19160,NA,1096,1/2/2015
Colorado,243.68,3152,195.25,2880,NA,179,1/2/2015
Connecticut,337.11,1837,268.04,2071,NA,126,1/2/2015
Delaware,364.18,491,234.72,431,NA,42,1/2/2015
District of Columbia,348.56,658,282.04,581,NA,49,1/2/2015
Florida,300.94,9375,216.96,8175,NA,697,1/2/2015
Georgia,324.34,4427,217.33,3473,NA,303,1/2/2015
Hawaii,307.85,453,263.45,522,NA,30,1/2/2015
Idaho,275.37,451,245.57,675,NA,35,1/2/2015
Illinois,353.84,5630,282.56,5527,NA,451,1/2/2015
Indiana,332.49,2387,214.53,2253,NA,326,1/2/2015
Iowa,364.92,975,289.39,1048,NA,122,1/2/2015
Kansas,350.15,1161,260.53,1002,NA,138,1/2/2015
Kentucky,338.76,1491,173.9,1506,NA,180,1/2/2015
Louisiana,361.44,1522,240.9,1351,NA,318,1/2/2015
Maine,312.3,620,235.03,658,NA,61,1/2/2015
Montana,265.51,738,240.94,365,NA,32,1/2/2015
Nebraska,335.65,695,246.43,724,NA,76,1/2/2015
Nevada,266.03,1239,226.56,1433,NA,78,1/2/2015
New Hampshire,353.87,599,289.07,658,NA,51,1/2/2015
New Jersey,345.37,3059,286.47,4199,NA,256,1/2/2015
New Mexico,288.96,801,219.28,665,NA,68,1/2/2015
New York,343.77,7846,263.62,8727,NA,617,1/2/2015
North Carolina,345.24,4115,245.78,3035,NA,315,1/2/2015
North Dakota,393.94,213,339.6,327,NA,23,1/2/2015
Ohio,332.58,4245,218.82,4275,NA,550,1/2/2015
Oklahoma,354.09,1117,238.15,1073,NA,196,1/2/2015
Oregon,205.84,2182,180.92,2021,NA,95,1/2/2015
Maryland,365.94,2865,256.02,2465,NA,193,1/2/2015
Massachusetts,345.55,4006,285.76,3787,NA,289,1/2/2015
Michigan,288.02,3994,270.75,3730,NA,295,1/2/2015
Minnesota,351.61,2366,272.73,2470,NA,128,1/2/2015
Mississippi,335.1,614,150.94,551,NA,143,1/2/2015
Missouri,351.55,2220,245.24,2117,NA,299,1/2/2015
Pennsylvania,362.93,5529,269.38,4990,NA,504,1/2/2015
Rhode Island,317.16,722,258.77,561,NA,47,1/2/2015
South Carolina,337.04,1685,205.48,1417,NA,164,1/2/2015
South Dakota,357.05,222,348.81,256,NA,25,1/2/2015
Tennessee,348.78,2245,225.38,1912,NA,219,1/2/2015
Texas,334.26,8250,233.52,8598,NA,1149,1/2/2015
Utah,290.45,960,237.65,1057,NA,62,1/2/2015
Vermont,371.17,358,308.86,367,NA,32,1/2/2015
Virginia,364.92,3518,292.89,3087,NA,286,1/2/2015
Washington,233.01,3341,189.88,3567,NA,160,1/2/2015
West Virginia,359.63,552,224.17,546,NA,60,1/2/2015
Wisconsin,350.55,2247,272.61,2223,NA,167,1/2/2015
Wyoming,320.39,133,351.86,197,NA,12,1/2/2015
Alabama,338.87,1097,199.89,985,152.02,129,2/2/2014
Alaska,288.81,265,254.5,313,388.58,26,2/2/2014
Arizona,303.22,2021,210.07,1708,195.32,229,2/2/2014
Arkansas,359.41,604,183.04,575,128.27,120,2/2/2014
California,248.21,12580,192.73,13424,191.7,805,2/2/2014
Colorado,237.55,2310,198.28,1903,223.47,138,2/2/2014
Connecticut,346.72,1347,273.9,1388,252.31,95,2/2/2014
Delaware,373.46,365,227.38,285,199.88,34,2/2/2014
District of Columbia,349.64,463,292.22,371,211.38,40,2/2/2014
Florida,305.88,6836,219.88,5527,156.94,532,2/2/2014
Georgia,332.15,3240,214.26,2377,154.46,234,2/2/2014
Hawaii,307.76,338,272.99,370,162.11,26,2/2/2014
Idaho,275.3,327,257.48,465,133.75,22,2/2/2014
Illinois,356.79,4198,287.78,3819,176.79,355,2/2/2014
Indiana,335.32,1750,208.52,1530,161.44,255,2/2/2014
Iowa,369.77,725,292.45,684,251.78,105,2/2/2014
Kansas,354.83,863,261.31,669,113.7,111,2/2/2014
Kentucky,338.85,1060,181.5,1031,125.11,138,2/2/2014
Louisiana,374.2,1137,242.81,911,149.56,239,2/2/2014
Maine,319.11,471,259.84,453,214.8,52,2/2/2014
Montana,271.16,601,251.43,272,734.65,22,2/2/2014
Nebraska,349.72,535,248.44,531,142.51,63,2/2/2014
Nevada,270.12,938,219.36,972,252.49,63,2/2/2014
New Hampshire,376.83,450,285.94,473,550.95,40,2/2/2014
New Jersey,354.59,2323,292.62,2937,230.04,199,2/2/2014
New Mexico,293.37,588,205.27,452,63.7,42,2/2/2014
New York,352.32,6056,268.58,6118,189.86,498,2/2/2014
North Carolina,355.34,2925,247.3,2004,150.81,237,2/2/2014
North Dakota,408.37,144,335.38,216,331.9,15,2/2/2014
Ohio,336.44,3189,213.69,2969,167.26,414,2/2/2014
Oklahoma,364.74,793,228.53,715,120.16,136,2/2/2014
Oregon,212.27,1680,188.96,1384,174.52,65,2/2/2014
Maryland,379.93,2066,250.02,1644,194.99,154,2/2/2014
Massachusetts,352.89,3000,296.81,2585,220.8,226,2/2/2014
Michigan,298.14,3163,276.44,2651,228.04,233,2/2/2014
Minnesota,370.06,1788,278.02,1631,181.28,103,2/2/2014
Mississippi,339.26,431,149.1,370,143.99,105,2/2/2014
Missouri,367.41,1637,242.1,1357,149.58,214,2/2/2014
Pennsylvania,371.3,4027,266.44,3400,193.02,384,2/2/2014
Rhode Island,333.49,549,261.15,377,201.75,34,2/2/2014
South Carolina,346.09,1211,202.25,952,173.87,126,2/2/2014
South Dakota,389.9,170,368.94,176,125.68,20,2/2/2014
Tennessee,358.06,1632,225.32,1302,195.96,158,2/2/2014
Texas,342.12,6255,236.04,5994,142.88,888,2/2/2014
Utah,293.06,712,233.24,720,187.95,45,2/2/2014
Vermont,377.22,289,321.36,242,187.64,25,2/2/2014
Virginia,373.62,2588,287.97,2082,227.34,219,2/2/2014
Washington,235.42,2435,191.21,2466,153.14,114,2/2/2014
West Virginia,364.28,379,197.45,390,158.3,41,2/2/2014
Wisconsin,357.72,1699,270.33,1455,233.39,133,2/2/2014
Wyoming,354.03,94,378.82,138,161.3,11,2/2/2014
Alabama,335.86,1584,209.19,1525,NA,193,2/2/2015
Alaska,302.89,358,271.01,492,NA,37,2/2/2015
Arizona,297,2732,208.13,2531,NA,313,2/2/2015
Arkansas,341.79,876,208.99,870,NA,146,2/2/2015
California,243.29,16916,188.94,19780,NA,1123,2/2/2015
Colorado,242.75,3238,195.94,2987,NA,188,2/2/2015
Connecticut,336.04,1871,267.11,2141,NA,131,2/2/2015
Delaware,363.88,504,234.1,449,NA,44,2/2/2015
District of Columbia,348.4,677,282.82,610,NA,49,2/2/2015
Florida,300.21,9668,216.29,8535,NA,713,2/2/2015
Georgia,322.71,4594,216.71,3622,NA,313,2/2/2015
Hawaii,306.34,464,261.94,542,NA,30,2/2/2015
Idaho,275.45,467,243.24,694,NA,36,2/2/2015
Illinois,352.45,5788,282.39,5726,NA,459,2/2/2015
Indiana,331.29,2457,216.18,2335,NA,335,2/2/2015
Iowa,364.79,996,289.33,1089,NA,123,2/2/2015
Kansas,349.13,1192,259.53,1045,NA,143,2/2/2015
Kentucky,338.29,1545,173.62,1567,NA,182,2/2/2015
Louisiana,361.2,1580,241.43,1419,NA,329,2/2/2015
Maine,304.96,633,234.77,684,NA,64,2/2/2015
Montana,265.34,748,247.53,382,NA,32,2/2/2015
Nebraska,335.4,710,243.91,759,NA,76,2/2/2015
Nevada,265.48,1275,226.41,1480,NA,79,2/2/2015
New Hampshire,353.09,612,288.14,673,NA,52,2/2/2015
New Jersey,345.06,3157,285.76,4375,NA,263,2/2/2015
New Mexico,287.96,824,219.03,686,NA,71,2/2/2015
New York,343.07,8063,262.93,9020,NA,628,2/2/2015
North Carolina,344.58,4251,245.58,3157,NA,326,2/2/2015
North Dakota,387.11,216,319.28,346,NA,26,2/2/2015
Ohio,332.48,4386,219.89,4453,NA,563,2/2/2015
Oklahoma,352.62,1163,238.4,1104,NA,200,2/2/2015
Oregon,205.32,2232,180.45,2093,NA,99,2/2/2015
Maryland,362.63,2968,267.47,2564,NA,198,2/2/2015
Massachusetts,343.96,4103,284.5,3925,NA,294,2/2/2015
Michigan,287.48,4082,268.13,3872,NA,306,2/2/2015
Minnesota,348.02,2450,273.55,2576,NA,134,2/2/2015
Mississippi,335.78,639,150.86,578,NA,150,2/2/2015
Missouri,349.57,2284,245.78,2202,NA,304,2/2/2015
Pennsylvania,362.21,5691,269.65,5169,NA,519,2/2/2015
Rhode Island,316.61,732,255.88,593,NA,47,2/2/2015
South Carolina,336.95,1752,205.28,1453,NA,165,2/2/2015
South Dakota,357.66,224,347.72,262,NA,26,2/2/2015
Tennessee,347.43,2313,226.23,2001,NA,231,2/2/2015
Texas,333.29,8488,232.3,8916,NA,1176,2/2/2015
Utah,289.15,983,236.98,1106,NA,66,2/2/2015
Vermont,369.87,368,306.19,384,NA,32,2/2/2015
Virginia,364.42,3625,291.12,3218,NA,294,2/2/2015
Washington,232.84,3431,188.72,3685,NA,162,2/2/2015
West Virginia,358.12,567,225.97,565,NA,60,2/2/2015
Wisconsin,348.79,2306,271.28,2324,NA,170,2/2/2015
Wyoming,322.28,134,350.57,202,NA,12,2/2/2015
Alabama,340.1,1142,202.96,1037,146.33,133,3/2/2014
Alaska,286.78,281,251.87,324,388.58,26,3/2/2014
Arizona,302.94,2095,209.51,1779,195.16,239,3/2/2014
Arkansas,357.73,630,182.91,593,126.75,125,3/2/2014
California,247.57,12999,193.02,13926,192.2,841,3/2/2014
Colorado,237.89,2405,197.59,1988,226.22,145,3/2/2014
Connecticut,347.04,1391,274.15,1459,252.31,95,3/2/2014
Delaware,371.64,377,228.71,296,206.61,36,3/2/2014
District of Columbia,350.61,479,294.39,390,208.53,41,3/2/2014
Florida,305.28,7152,219.89,5824,152.87,551,3/2/2014
Georgia,330.94,3373,214.04,2472,151.92,240,3/2/2014
